r1b1kb1r/pp1ppppp/n1p5/6N1/6n1/qP2PQP1/P1PP1P1P/RN2KB1R w KQkq - 0 8	f3f7
r2qk1nr/1bpp1p2/1pn4p/Ppb1p1p1/4P1P1/R1P2P2/1P1P1Q1P/1NB1K1NR b Kkq - 5 10	c5f2
rnbqkbnr/p2p2pp/5p2/1pp1p3/7P/P1NP4/RPP1PPP1/2BQKBNR b Kkq - 0 5	d7d5
rnbqkb1r/2pppp2/p4n1p/Pp4p1/1P6/4P3/R1PP1PPP/1NBQKBNR w Kkq - 0 6	d2d4
rnbqkbnr/p1pp1pB1/1p4p1/4p2p/8/PP6/2PPPPPP/RN1QKBNR w KQkq - 0 5	g7h8
rn1qkbnr/ppp1ppp1/3p3p/8/8/PP1P3b/2P1PPPP/RNBQKB1R b KQkq - 0 4	h3d7
rnqk1b1r/ppp1pp1p/5np1/5b2/2PB2P1/1P1P3N/P3PP1P/RN1QKB1R w KQ - 1 8	g4f5
r2qkbnr/p1p1ppp1/np1p4/7p/2P1P3/PP3P1b/3P2PP/RNBQKBNR w KQkq - 1 6	g1h3
rn1qkbnr/p1pppp1p/bp4p1/8/7P/2N2P2/PPPPP1P1/R1BQKBNR w KQkq - 2 4	d2d4
rnb1kb1r/1p4pp/2pqp2B/p2p1p2/5P1n/PPPP2PN/4P2P/RN1QKBR1 b Qkq - 0 10	h4g6
r1bqkbnr/ppppp1p1/n4p1p/8/4P1P1/P7/1PPP1P1P/RNBQKBNR w KQkq - 1 4	b1c3
rnbqkbnr/pp1pp1pp/2p5/5p2/3P2P1/2N5/PPP1PP1P/R1BQKBNR b KQkq - 0 3	d7d5
r1bqkbnr/3pp1pp/p1p5/1p3p2/PP2NP2/1n1P3P/2P1P1P1/R1BQKBNR w KQkq - 0 8	c2b3
rn2kb1r/ppp1pp1p/1q3n2/3p2p1/4P1bP/N1PP4/PP2BPP1/R1BQK1NR b KQkq - 2 7	g4e2
r1bqkbnr/p1pppp2/1p4pp/8/P2P4/1P3PPP/2P2P2/RNBQKB1R b KQkq - 0 7	f8g7
rnbqkbn1/ppppp1pr/7p/5p2/8/4P1PN/PPPPQP1P/RNB1KB1R b KQq - 0 4	g8f6
rnbqkb1r/p2ppnpp/1p3p2/P1p5/8/3R1N2/1PPPPPPP/1NBQKB1R w Kkq - 1 6	a5b6
r1bqkb1r/2pppp1p/p1n3pn/1p1Q4/8/2P1P3/PP1P1PPP/RNB1KBNR b KQkq - 3 6	c8b7
rnq1kbnr/4pppp/pp6/2ppNP2/8/1P4Pb/P1PPP3/RNBQKB1R w KQkq - 0 8	f1h3
rnbqkbn1/pp1pppp1/7r/2p4p/6PP/8/PPPPPP2/RNBQKBNR w Qq - 3 5	g4g5
